,0,1,selected,features
563,-0.0,0.01,N,neighbor_Falta3
564,-0.06,0.0,N,neighbor_Falta4
565,-0.02,0.07,N,neighbor_Falta5
566,-0.05,0.08,N,neighbor_Falta6
567,-0.06,0.08,N,neighbor_Falta7
568,-0.03,0.16,N,neighbor_Falta8
569,0.0,0.14,N,neighbor_Falta9
570,-0.04,0.03,N,neighbor_Falta10
571,-0.04,0.11,N,neighbor_Falta11
572,-0.05,0.03,N,neighbor_Falta12
573,-0.02,0.0,N,neighbor_Falta13
574,-0.03,0.07,N,neighbor_GCC0
575,-0.0,0.0,N,neighbor_GCC1
576,-0.03,0.1,N,neighbor_GCC2
577,-0.04,0.06,N,neighbor_GCC3
578,-0.04,0.04,N,neighbor_GCC4
579,-0.04,0.0,N,neighbor_GCC5
580,-0.01,0.09,N,neighbor_GCC6
581,-0.03,0.04,N,neighbor_GCC7
582,-0.02,0.15,N,neighbor_GCC8
583,-0.0,0.0,N,neighbor_GCC9
584,-0.0,0.0,N,neighbor_GCC10
585,-0.04,0.04,N,neighbor_GCC11
586,-0.04,0.04,N,neighbor_GCC12
587,-0.02,0.0,N,neighbor_GCC13
588,-0.0,0.0,N,neighbor_GLI0
589,-0.04,0.06,N,neighbor_GLI1
590,0.05,0.14,Y,neighbor_GLI2
591,-0.03,0.07,N,neighbor_GLI3
592,-0.06,0.1,N,neighbor_GLI4
593,-0.03,0.07,N,neighbor_GLI5
594,-0.04,0.07,N,neighbor_GLI6
595,-0.02,0.08,N,neighbor_GLI7
596,-0.06,0.01,N,neighbor_GLI8
597,-0.04,0.09,N,neighbor_GLI9
598,-0.04,0.04,N,neighbor_GLI10
599,0.01,0.15,Y,neighbor_GLI11
600,-0.03,0.08,N,neighbor_GLI12
601,-0.02,0.09,N,neighbor_GLI13
602,-0.03,0.09,N,neighbor_LIN0
603,-0.04,0.06,N,neighbor_LIN1
604,-0.01,0.1,N,neighbor_LIN2
605,-0.03,0.07,N,neighbor_LIN3
606,-0.03,0.08,N,neighbor_LIN4
607,-0.04,0.05,N,neighbor_LIN5
608,-0.04,0.0,N,neighbor_LIN6
609,-0.06,0.05,N,neighbor_LIN7
610,-0.09,0.01,N,neighbor_LIN8
611,-0.02,0.08,N,neighbor_LIN9
612,-0.01,0.11,N,neighbor_LIN10
613,-0.05,0.05,N,neighbor_LIN11
614,-0.05,0.03,N,neighbor_LIN12
615,-0.01,0.08,N,neighbor_LIN13
616,-0.03,0.04,N,neighbor_LIP0
617,-0.02,0.12,N,neighbor_LIP1
618,-0.01,0.11,N,neighbor_LIP2
619,-0.01,0.0,N,neighbor_LIP3
620,-0.06,0.0,N,neighbor_LIP4
621,-0.03,0.05,N,neighbor_LIP5
622,-0.06,0.06,N,neighbor_LIP6
623,-0.07,0.06,N,neighbor_LIP7
624,-0.03,0.16,N,neighbor_LIP8
625,-0.0,0.13,N,neighbor_LIP9
626,-0.04,0.03,N,neighbor_LIP10
627,-0.05,0.1,N,neighbor_LIP11
628,-0.04,0.03,N,neighbor_LIP12
629,-0.02,0.0,N,neighbor_LIP13
630,-0.03,0.05,N,neighbor_MAC0
631,-0.0,0.0,N,neighbor_MAC1
632,-0.03,0.11,N,neighbor_MAC2
633,-0.04,0.05,N,neighbor_MAC3
634,-0.04,0.02,N,neighbor_MAC4
635,-0.04,0.0,N,neighbor_MAC5
636,-0.03,0.06,N,neighbor_MAC6
637,-0.03,0.05,N,neighbor_MAC7
638,-0.02,0.1,N,neighbor_MAC8
639,-0.0,0.0,N,neighbor_MAC9
640,-0.0,0.4,N,neighbor_MAC10
641,-0.06,-0.01,Y,neighbor_MAC11
642,-0.04,0.05,N,neighbor_MAC12
643,-0.02,0.0,N,neighbor_MAC13
644,-0.0,0.0,N,neighbor_MON0
645,-0.04,0.05,N,neighbor_MON1
646,0.03,0.12,Y,neighbor_MON2
647,-0.05,0.04,N,neighbor_MON3
648,-0.01,0.17,N,neighbor_MON4
649,-0.02,0.08,N,neighbor_MON5
650,-0.03,0.08,N,neighbor_MON6
651,-0.04,0.06,N,neighbor_MON7
652,-0.07,-0.0,N,neighbor_MON8
653,-0.02,0.07,N,neighbor_MON9
654,-0.05,0.03,N,neighbor_MON10
655,0.01,0.14,Y,neighbor_MON11
656,-0.05,0.07,N,neighbor_MON12
657,-0.02,0.08,N,neighbor_MON13
658,-0.03,0.08,N,neighbor_NTI0
659,-0.04,0.05,N,neighbor_NTI1
660,-0.03,0.08,N,neighbor_NTI2
661,-0.01,0.09,N,neighbor_NTI3
662,-0.03,0.07,N,neighbor_NTI4
663,-0.04,0.03,N,neighbor_NTI5
664,-0.02,0.0,N,neighbor_NTI6
665,-0.06,0.04,N,neighbor_NTI7
666,-0.06,0.04,N,neighbor_NTI8
667,-0.03,0.06,N,neighbor_NTI9
668,-0.0,0.11,N,neighbor_NTI10
669,-0.04,0.06,N,neighbor_NTI11
670,-0.03,0.04,N,neighbor_NTI12
671,-0.01,0.06,N,neighbor_NTI13
672,-0.03,0.04,N,neighbor_OTR0
673,-0.01,0.13,N,neighbor_OTR1
674,-0.0,0.1,N,neighbor_OTR2
675,-0.01,0.01,N,neighbor_OTR3
676,-0.06,0.0,N,neighbor_OTR4
677,-0.03,0.04,N,neighbor_OTR5
678,-0.03,0.09,N,neighbor_OTR6
679,-0.06,0.08,N,neighbor_OTR7
680,-0.03,0.16,N,neighbor_OTR8
681,0.0,0.14,N,neighbor_OTR9
682,-0.03,0.03,N,neighbor_OTR10
683,-0.05,0.1,N,neighbor_OTR11
684,-0.03,0.04,N,neighbor_OTR12
685,-0.02,0.0,N,neighbor_OTR13
686,-0.04,0.03,N,neighbor_OXA0
687,-0.0,0.0,N,neighbor_OXA1
688,-0.02,0.1,N,neighbor_OXA2
689,-0.05,0.03,N,neighbor_OXA3
690,-0.03,0.03,N,neighbor_OXA4
691,-0.0,0.0,N,neighbor_OXA5
692,-0.04,0.05,N,neighbor_OXA6
